textID,  # words  ,genre,year,title,author,Publication information,Library of Congress classification (NF),FIXED
754813," 73,106 ",NF,1900,China,"Boulger, Demetrius Charles, 1853-1928",,D,n
773924," 16,834 ",NF,1900,Secrets of the Sword,C. F. Clay,"George Bell & Sons, New York",U,n
774057," 37,781 ",NF,1900,The State: Elements of Historical and Practical Politics,Woodrow Wilson,"D. C. Heath & Co., Boston",J,n
774189," 40,655 ",NF,1900,The Races of Man,Joseph Deniker,"Freeport, New York: Books for Libraries Press",G,n
750130," 43,437 ",NF,1901,Secret of the Woods,"Long, William Joseph, 1866-1952",,Q,n
751180," 68,370 ",NF,1901,Wild Flowers An Aid to Knowledge of Our Wild Flowers and Their Insect Visitors,"Blanchan, Neltje, 1865-1918",,Q,n
773705," 22,956 ",NF,1901,An Outline of Philosophy,John Watson,"The MacMillan Company, New York",B,n
774001," 20,335 ",NF,1901,Before the Great Pillage,Augustus Jessopp,"T. Fisher Unwin, London",D,n
774062," 18,941 ",NF,1901,A B C of the Telephone,James E. Homans,"Theo. Audel & Co., New York",T,n
768907," 45,771 ",NF,1902,Wood Folk at School,"Long, William Joseph, 1866-1952",,Q,n
773445," 21,210 ",NF,1902,The Races of Man,Oscar Peschel,"D. Appleton and Company, New York",G,n
773551," 28,526 ",NF,1902,Anticipations of the Reaction of Mechanical and Scientific Progress Upon Human Life and Thought,H.G. Wells,"Harper and Brothers Publishers, New York",H,n
773632," 20,530 ",NF,1902,Astronomy for Everybody,Simon Newcomb,"Garden City Publishing Co., Inc., Garden City",Q,n
773768," 22,034 ",NF,1902,American Navigation,William W. Bates,"Houghton, Mifflin, and Company, Boston",H,n
773877," 18,779 ",NF,1902,Famous Pianists of To-Day and Yesterday,Henry C. Lahee,"L. C. Page & Company, Boston",M,n
774002," 21,262 ",NF,1902,Alfred the Great,Thomas Hughes,"The Perkins Book Company, New York",D,n
754221," 43,648 ",NF,1903,The Nature of Goodness,"Palmer, George Herbert, 1842-1933",,B,n
774091," 32,363 ",NF,1903,A Manual of Topographical Drawings,Lieut. R. S. Smith,"John Wiley & Sons, Publishers, London",T,n
749943," 74,279 ",NF,1904,"History of Science, a -- Volume 4","Williams, Edward Huntington, 1868-1944",,Q,n
766417," 84,456 ",NF,1904,Historical Tales - The Romance of Reality - Volume III,"Morris, Charles, 1833-1922",,F,n
771778," 75,297 ",NF,1904,"Historical Tales, Vol. 2 (of 15) The Romance of Reality","Morris, Charles, 1833-1922",,E,n
773490," 20,020 ",NF,1904,"Health, Strength, and Power",Dudley A. Sargent,"H.M. Caldwell Co. Publishers, New York",G,n
773511," 19,653 ",NF,1904,Bits of Talk about Home Matters,H.H.,"Little, Brown, and Company, Boston",H,n
773854," 17,123 ",NF,1904,Small Culture,W. J. Malden,E. Marlborough & Co. London,S,n
771785," 67,525 ",NF,1905,The Approach to Philosophy,"Perry, Ralph Barton, 1876-1957",,B,n
773407," 22,758 ",NF,1905,Introductions to Pyschology,Mary Whiton Calkins,"The Macmillion Company, New York",B,n
773516," 18,585 ",NF,1905,Radiant Motherhood,Margaret E. Sangster,"The Bobbs-Merrill Company Publishers, Indianapolis",H,n
773537," 21,172 ",NF,1905,The Theory of Teaching,Albert Salisbury,"Row, Peterson, and Co., Chicago",L,n
773578," 20,799 ",NF,1905,Old Masters and New,Kenyon Cox,"Fox, Duffield, and Company, New York",N,n
773600," 22,873 ",NF,1905,A Short History of English Literature,George Saintsbury,"The Macmillan Company, New York",P,n
773660," 20,184 ",NF,1905,Natural History in Zoological Gardens,Frank E. Beddard,"Archibald Constable & Co. Ltd, London",Q,n
773759," 35,131 ",NF,1905,Sociology and Social Progress,Thomas Nixon Carver,"Ginn & Company, Publishers, Boston",H,n
773795," 19,531 ",NF,1905,The Origin of Thought and Speech,M. Moncalm,"Kegan Paul, Trench, Trubner & Co., Ltd",P,n
752270," 23,135 ",NF,1906,Christopher Columbus and the New World of His Discovery -- Volume 1,"Young, Filson, 1876-1938",,E,n
755094," 73,993 ",NF,1907,History of the Philippine Islands,"Morga, Antonio de, 1559-1636",,D,n
771392," 29,802 ",NF,1907,"The Biology, Physiology and Sociology of Reproduction Also Sexual Hygiene with Special Reference ","Hall, Winfield Scott, 1861-",,B,n
773468," 19,967 ",NF,1907,The Optomistic Life,Orison Swett Marden,Thomas Y. Crowell and Co.. New York,H,n
