textID,#words,genre,year,title,author,Publication information,Library of Congress classification (NF),FIXED
747561," 21,276 ",NF,1830,Easy lessons in perspective : including instructions for sketching from nature ,,"Boston: Hilliard, Gray, Little and Wilkins",N,n
747989," 9,351 ",NF,1830,"A lecture on the working men''s party, first delivered October sixth, before the Charlestown Lyceum",Edward Everett,Boston: Gray and Bowen,H,n
747517," 61,055 ",NF,1831,A general history of the most prominent banks in Europe: particularly the banks of England and France; the rise and progress of the Bank of North Amer,Thomas H. Goddard,New York: H. C. Sleight,H,n
764842," 27,655 ",NF,1831,The History of Mary Prince A West Indian Slave,"Prince, Mary, 1788-1833",,H,n
747503," 12,472 ",NF,1832,The progress of genius : or authentic memoirs of the early life of Benjamin West ,John Galt;  Benjamin West,"Boston: L.C. Bowles,",N,n
747577," 13,151 ",NF,1832,"An oration delivered in Tammany Hall, in commemoration of the birthday of Thomas Paine and an account of the celebration of the 95th anniversary of th",John Morrison,New York: Evans & Brooks,J,n
747717," 15,877 ",NF,1832,"State sovereignty, and a certain dissolution of the Union",Benjamin Romaine,New York: J. Kennaday,J,n
748058," 26,394 ",NF,1832,"Rural Residences: Consisting of a Series of Designs for Cottages, Decorated",John Buonarotti Papworth,New York: The Architect,N,n
758144," 73,223 ",NF,1832,Domestic Manners of the Americans,"Trollope, Fanny, 1779-1863",,E,n
771858," 14,662 ",NF,1832,A Dissertation on the Medical Properties and Injurious Effects of the Habitual Use of Tobacco,"McAllister, A. (Alvan)",,R,n
747463," 66,498 ",NF,1833,By order of the king ,Victor Hugo,New York: P.F. Collier & Son,P,n
747505," 67,537 ",NF,1833,"A short history of paper-money and banking in the United States, including an account of provincial and continental paper-money. To which is prefixed,",William M. Gouge,Philadelphia: T. W. Ustick,H,n
747581," 64,850 ",NF,1833,Commentaries on the constitution of the United States : with a preliminary review of the constitutional history of the colonies and states before the ,Joseph Story,Boston: Little,J,n
747716," 67,649 ",NF,1833,"Report of the trial of James H. Peck, judge of the United States district court for the district of Missouri, before the Senate of the United States o",James H. Peck,"Boston: Hilliard, Gray, and Co.",J,n
747885," 67,422 ",NF,1833,"The arguments of the counsel of Joseph Hendrickson, in a cause decided in the Court of chancery of the state of New Jersey, between Thomas L. Shotwell",George Wood,Philadelphia: ,K,n
747481," 54,651 ",NF,1834,"China and the English; or, the character and manners of the Chinese. As illustrated in the history of their intercourse with foreigners. Written for A",Jacob Abbott,"New York: Leavitt, Lord & Co.",D,n
747559," 12,733 ",NF,1834,"Report of the ""Union Committee"" appointed by the meeting of the signers of the memorial to Congress, held on the 11th day of February, 1834, at the Me",Albert Gallatin,New York: Harper & brothers,H,n
747621," 20,152 ",NF,1834,The Book of Sports,Robin Carver,"Boston: Lily, Wait, Colman, and Holden",G,n
747938," 50,098 ",NF,1834,Journal of a recent visit to the principal vineyards of Spain and France : giving a minute account of the different methods pursued in the cultivation,James Busby,"New York: Smith, Elder",S,n
747509," 65,211 ",NF,1835,"Progressive education, commencing with the infant","Albertine-Adrienne Necker de Saussure;  Emma Willard;  Lincoln Phelps, Mrs",Boston: W.D. Ticknor,L,n
747966," 81,773 ",NF,1835,Essay on the rate of wages: with an examination of the causes of the differences in the condition of the labouring population throughout the world,Henry Charles Carey,"Philadelphia: Carey, Lea & Blanchard",H,n
748005," 51,730 ",NF,1835,Memoir of Harlan Page: or the power of prayer and personal effort for the souls of individuals,William A. Hallock,New York: American Tract Society,B,n
748008," 68,602 ",NF,1835,A Narrative of the Visit to the American Churches by the Deputation from the Congregational ,"Andrew Reed, James Matheson",New York: Harper,B,n
771099," 5,731 ",NF,1835,"A Sermon Preached on the Anniversary of the Boston Female Asylum for Destitute Orphans, September 25","Wainwright, Jonathan Mayhew, 1792-1854",,H,n
747652," 66,364 ",NF,1837,"A general view of the origin and nature of the Constitution and government of the United States, deduced from the political history and condition of t",Henry Baldwin,Philadelphia: J. C. Clark,J,n
747786," 41,977 ",NF,1837,"An accompaniment to Mitchell''s map of the world : on Mercator''s projection : containing an index to various countries, cities, towns, islands, &c., ",S. Augustus Mitchell,Philadelphia: Hinman and Dutton,F,n
747882," 65,838 ",NF,1837,"The Inventor''s Guide: Comprising the Rules, Forms, and Proceedings, for Securing Patent Rights",Williard Phillips,"New York: Collins, Keese, & Co.",K,n
747898," 39,208 ",NF,1837,A practical treatise on the cultivation of the grape vine on open walls,Clement Hoare,Boston: William D. Ticknor,S,n
747960," 68,040 ",NF,1837,On the extent of the Atonement in its relation to God and the universe,Thomas W. Jenkyn,Boston: Crocker and Brewster,B,n
