textID,#words,genre,year,title,author,Publication information,Library of Congress classification (NF),FIXED
747423," 73,260 ",NF,1850,Propositions Concerning Protection and Free Trade,Willard Phillips,Boston: C. C. Little and J. Brown,H,n
747863," 61,316 ",NF,1850,"The American fruit culturist, containing directions for the propagation and culture of fruit trees, in the nursery, orchard, and garden, with descript",John Jacobs Thomas,"Auburn [N.Y.]: Derby, Miller, & Co.",S,n
747939," 61,308 ",NF,1850,"The American fruit culturist, containing directions for the propagation and culture of fruit trees, in the nursery, orchard, and garden, with descript",John Jacobs Thomas,Auburn [N.Y.]: M.H. Newman,S,n
748019," 10,550 ",NF,1850,"Memorial of the Iron Manufacturers of New England, Asking for a Modification of the Tariff of 1846",John L. Hayes,Philadelphia: C. Sherman,H,n
772011," 8,640 ",NF,1850,Atheism Among the People,"Hale, Edward Everett, 1822-1909",,B,n
747495," 31,054 ",NF,1851,"The theory of effect : embracing the contrast of light and shade, of colour and harmony",C T Hinckley,Philadelphia: J.W. Moore,N,n
771607," 71,957 ",NF,1851,"Glances at Europe In a Series of Letters from Great Britain, France, Italy, Switzerland, &c. D","Greeley, Horace, 1811-1872",,D,n
748165," 66,069 ",NF,1852,The elements of political economy,Francis Wayland,Boston: Gould and Lincoln,H,n
749447," 72,055 ",NF,1852,Essay on the Trial By Jury,"Spooner, Lysander, 1808-1887",,K,n
752548," 75,788 ",NF,1852,Roughing It in the Bush,"Moodie, Susanna, 1803-1885",,F,n
771217," 72,968 ",NF,1852,The Idea of a University Defined and Illustrated: In Nine Discourses Delivered to the Catholics o,"Newman, John Henry, 1801-1890",,L,n
771569," 66,250 ",NF,1852,"Stray Leaves from an Arctic Journal; or, Eighteen Months in the Polar Regions, in Search of Sir<b","Osborn, Sherard, 1822-1875",,G,n
747555," 66,788 ",NF,1853,"Theory of politics, an inquiry into the foundations of governments, and the causes and progress of political revolutions",Richard Hildreth,New York: Harper,J,n
747976," 44,857 ",NF,1853,The Rudiments of the Art of Building: Represented in Five Sections,Edward Dobson,New York: Stringer and Townsend,T,n
748464," 43,446 ",NF,1853,American Hand Book of the Daguerreotype,"Humphrey, S. D. (Samuel Dwight), 1823-1883",,T,n
765349," 70,704 ",NF,1853,"Anecdotes of Painters, Engravers, Sculptors and Architects and Curiosities of Art (Vol. 3 of 3)","Spooner, Shearjashub, 1809-1859",,N,n
771274," 74,054 ",NF,1853,Langstroth on the Hive and the Honey-Bee A Bee Keeper's Manual,"Langstroth, L. L. (Lorenzo Lorraine), 1810-1895",,L,n
747674," 68,240 ",NF,1855,"The trial of Theodore Parker : for the ""misdemeanor"" of a speech in Faneuil Hall against kidnapping, before the Circuit Court of the United States, at",Theodore Parker,Boston: ,K,n
747876," 39,407 ",NF,1855,Report on insanity and idiocy in Massachusetts ,Massachusetts. Commission on Lunacy.; Massachusetts. General Court. Committee on Public Charitable I,Boston: White,R,n
748018," 74,348 ",NF,1855,The Wonders of Geology,Samuel Goodrich,Boston: J. Reynolds and Co.,Q,n
748146," 84,480 ",NF,1855,The literary life and correspondence of the Countess of Blessington,Richard Robert Madden,New York: Harper,D,n
748479," 75,140 ",NF,1855,My Bondage and My Freedom,"Douglass, Frederick, 1818-1895",,E,n
750257," 73,429 ",NF,1855,Eight Years' Wanderings in Ceylon,"Baker, Samuel White, Sir, 1821-1893",,D,n
754781," 15,868 ",NF,1855,Umbrellas and Their History,"Sangster, William, 1808-1888",,G,n
771880," 33,494 ",NF,1855,Rollo's Philosophy. [Air],"Abbott, Jacob, 1803-1879",,Q,n
772309," 11,668 ",NF,1855,"Conflict of Northern and Southern Theories of Man and Society Great Speech, Delivered in New York","Beecher, Henry Ward, 1813-1887",,E,n
747890," 58,928 ",NF,1858,"Pear culture. A manual for the propagation, planting, cultivation, and management of the pear tree. With descriptions and illustrations of the most pr",Thomas W Field,New York: A. O. Moore,S,n
748077," 66,583 ",NF,1858,"Rational Cosmology: Or, The Eternal Principles and the Necessary Laws of the Universe",Laurens Perseus Hickok,New York: D. Appleton,B,n
753804," 71,280 ",NF,1858,Considerations on Representative Government,"Mill, John Stuart, 1806-1873",,J,n
747415," 70,180 ",NF,1859,The testimony of modern science to the unity of mankind; being a summary of the conclusions announced by the highest authorities in the several depart,J.L. Cabell,New York: R. Carter & Brothers,G,n
747504," 74,794 ",NF,1859,The Mississippi bubble : a memoir of John Law,Adolphe Thiers,New York: W. A. Townsend & Company,H,n
747510," 38,764 ",NF,1859,Palissy the Huguenot potter,C L Brightwell,Boston: Henry Hoyt ,N,n
747534," 65,087 ",NF,1859,Thoughts on educational topics and institutions ,George S Boutwell,"Boston: Phillips, Sampson",L,n
748120," 68,375 ",NF,1859,The vagabond,Adam Badeau,New York: Rudd & Carleton,P,n
753344," 39,430 ",NF,1859,"Speeches of the Hon. Jefferson Davis, of Mississippi; delivered during the summer of 1858","Davis, Jefferson, 1808-1889",,E,n
555603," 8,621 ",MAG,1850,Gammel's History of Baptist Missions,,North American Review: January 1850: 57-78,,n
555605," 6,867 ",MAG,1850,Eliot's History of Roman Liberty,,North American Review: January 1850: 136-153,,n
