textID,#words,genre,year,title,author,Publication information,Library of Congress classification (NF),FIXED
7562," 45,611 ",FIC,1820,The poetical works,"Trumbull, John, 1750-1831",,,n
8735," 12,558 ",FIC,1820,The Mountain Torrent,"Judah, Samuel B. H. (Samuel Benjamin Helbert), ca. 1799-1876",,,n
8900," 3,363 ",FIC,1820,The Irish Exiles in America,"Selden, Almira",,,n
8901," 1,303 ",FIC,1820,Lady Jane Gray and Lord Guilford Dudley,"Selden, Almira",,,n
8902," 3,040 ",FIC,1820,Naomi,"Selden, Almira",,,n
8985," 7,143 ",FIC,1821,The Pedlar,"Wetmore, Alphonso, 1793-1849",,,n
8837," 14,786 ",FIC,1821,Th&egrave;r&eacute;se,"Payne, John Howard, 1791-1852",,,n
8794," 10,596 ",FIC,1821,The Wandering Boys,"Noah, M. M. (Mordecai Manuel), 1785-1851",,,n
8340," 14,988 ",FIC,1821,Poems,"Percival, James Gates, 1795-1856",,,n
8543," 9,133 ",FIC,1822,The Sultana,"Bailey, Jonathan S.",,,n
7274," 6,688 ",FIC,1822,Mary Hollis: An Original Tale . . ,"Sedgwick, Catharine Maria, 1789-1867",,,n
7275," 66,086 ",FIC,1822,A New-England Tale,"Sedgwick, Catharine Maria, 1789-1867",,,n
8736," 18,873 ",FIC,1822,Odofriede; the Outcast,"Judah, Samuel B. H. (Samuel Benjamin Helbert), ca. 1799-1876",,,n
7243," 108,733 ",FIC,1822,"Logan: A Family History, Volume 1","Neal, John, 1793-1876",,,n
7213," 80,381 ",FIC,1823,"The Wilderness; or, Braddock's Times. A Tale of the West, Volume 1 . . ","McHenry, James, 1785-1845",,,n
7214," 80,198 ",FIC,1823,"The Wilderness; or, Braddock's Times. A Tale of the West, Volume 2 . . ","McHenry, James, 1785-1845",,,n
7246," 121,323 ",FIC,1823,"Randolph: A Novel, Volume 1 . . ","Neal, John, 1793-1876",,,n
7248," 85,731 ",FIC,1823,"Seventy-six, volume 1","Neal, John, 1793-1876",,,n
7249," 77,975 ",FIC,1823,"Seventy-six, volume 2","Neal, John, 1793-1876",,,n
8520," 19,364 ",FIC,1823,The New Gentle Shepherd,"Allan, Adam, d. 1823",,,n
8633," 9,778 ",FIC,1823,Logan,"Doddridge, Joseph, 1769-1826",,,n
8612," 16,952 ",FIC,1823,The Benevolent Lawyers,"Clarke, M. (Mary)",,,n
8813," 6,655 ",FIC,1823,Ali Pacha,"Payne, John Howard, 1791-1852",,,n
9541, 562 ,FIC,1823,"Prize Address, on the Opening of a Circus","Woodworth, Samuel, 1784-1842",,,n
9542, 613 ,FIC,1823,"Address, Spoken by Mr. Hamblin on the Occasion of a Complimentary Benefit to Mr. Cooper the Tragedian","Woodworth, Samuel, 1784-1842",,,n
9543, 749 ,FIC,1823,"Epilogue, to Cox's Opera of Rokeby Spoken by Barnes, Placide, and Hilson","Woodworth, Samuel, 1784-1842",,,n
9628," 12,039 ",FIC,1823,The Forest Rose,"Woodworth, Samuel, 1784-1842",,,n
8255, 811 ,FIC,1824,&quot;Daughter of Coelus! as of old&quot;,"Longfellow, Henry Wadsworth, 1807-1882",,,n
7277," 45,144 ",FIC,1824,"Redwood: A Tale, Volume 1","Sedgwick, Catharine Maria, 1789-1867",,,n
7278," 41,662 ",FIC,1824,"Redwood: A Tale, Volume 2","Sedgwick, Catharine Maria, 1789-1867",,,n
7279," 43,166 ",FIC,1824,"Redwood: A Tale, Volume 3","Sedgwick, Catharine Maria, 1789-1867",,,n
7285," 65,533 ",FIC,1824,"Sketch of Connecticut, Forty Years Since","Sigourney, L. H. (Lydia Howard), 1791-1865",,,n
8753," 17,712 ",FIC,1824,La Fayette,"Lee, Walter, 19th cent.",,,n
8759," 11,976 ",FIC,1824,Tancred,"Lillibridge, Gardner R.",,,n
7211," 71,598 ",FIC,1824,"O'Halloran; or, The Insurgent Chief. An Irish Historical Tale of 1798, Volume 1 . . ","McHenry, James, 1785-1845",,,n
7212," 62,129 ",FIC,1824,"O'Halloran; or, The Insurgent Chief. An Irish Historical Tale of 1798, Volume 2 . . ","McHenry, James, 1785-1845",,,n
7022," 22,073 ",FIC,1824,Letters Found in the Ruins of Fort Braddock,"Brainard, John G. C. (John Gardiner Calkins), 1796-1828",,,n
7037," 53,159 ",FIC,1824,Hobomok,"Child, Lydia Maria Francis, 1802-1880",,,n
7041," 70,850 ",FIC,1825,"The Rebels; or, Boston before the Revolution","Child, Lydia Maria Francis, 1802-1880",,,n
3061," 11,061 ",FIC,1825,Zophiel A Poem,"Brooks, Maria Gowen, 1795?-1845",,,n
7283," 25,861 ",FIC,1825,"The Travellers: A Tale, Designed for Young People","Sedgwick, Catharine Maria, 1789-1867",,,n
8713," 22,183 ",FIC,1825,The New-England Drama,"Howes, Perkins",,,n
