textID, # words ,genre,year,title,author,Publication information,Library of Congress classification (NF),FIXED
773593," 21,218 ",NF,1980,Deliberate Regression,Robert Harbison,"Alfred A. Knopf, New York",N,n
773926," 23,823 ",NF,1980,World Architecture,William George,"Blandford Press, Poole, Dorset",N,n
774127," 48,710 ",NF,1980,"Food, People and Nutrition",Eleanor F. Eckstein,"Avi Publishing Company, Westport",T,n
774121," 56,491 ",NF,1981,Connections: Understanding Social Relationships,Harry Cohen,"The Iowa State University Press, Ames",H,n
774357," 47,568 ",NF,1981,Personal Styles and Effective Performance: Make Yourself Work for You,David W. Merrill and Roger H. Reid,"Chilton Book Company, Radnor PA",H,n
773611," 19,079 ",NF,1982,"Blessings, Kicks, and Curses",Geoffrey Grigson,"Allison & Busby, New York",P,n
773732," 19,825 ",NF,1982,"Cooking, Cuisine and Class",Jack Goody,"Cambridge University Press, Cambridge",G,n
773792," 17,606 ",NF,1982,The Alchemy of Discourse,Paul Kugler,"Associated University Presses, Inc. East Brunswick, NJ",P,n
773998," 28,622 ",NF,1982,The Giant Book of Wooden Toys,Percy W. Blandford,"TAB Books Inc, Blue Ridge Summit",T,n
774071," 20,858 ",NF,1982,Food Science a chemical approach,Brian A Fox & Allan G. Cameron,"Hodder and Stoughton, London",T,n
774150," 40,547 ",NF,1982,The Concept of Reality,Eli Hirsch,"Oxford University Press, New York",B,n
774241," 43,724 ",NF,1982,"American Literature in Context, II",Brian Harding,New York: Methuen,P,n
773499," 25,354 ",NF,1983,Golfer-At-Large: New Slantsd on an Ancient Game,Charles Price,"Atheneum, New York",G,n
773707," 24,549 ",NF,1983,African Philosophy,Paulin J. Hountondji,"Hutchinson & Co., London",B,n
774351," 53,824 ",NF,1983,Absolutely Positively Overnight: Washington's Darling Inside and Up Close,Robert A. Sigafoos,"St. Luke's Press, Memphis",H,n
774371," 43,492 ",NF,1983,Minority Rights: A Comparative Analysis,Jay A. Sigler,"Greenwood Press, Westport",K,n
774380," 45,395 ",NF,1983,Home-Psych: The Social Psychology of Home and Decoration,Joan Kron,"Clarkson N. Potter, Inc./Publishers, New York",N,n
774400," 44,446 ",NF,1983,The Dynamics of Change in NATO: A Burden-Sharing Perspective ,James R. Golden,"Praeger Publishers, New York",U,n
773424," 19,811 ",NF,1984,America a Narrative History,George Brown Tindall,"W.W. Norton and Company, Inc. New York",E,n
773453," 23,667 ",NF,1984,Rationality and Relativism,I.C. Jarvie,"Routledge and Kegan Paul, London",G,n
773500," 21,711 ",NF,1984,The Most Contrary Region: The BBC in Northern Ireland 1924-1984,Rex Carhcart,"The Blackstaff Press, Belfast",H,n
774242," 43,337 ",NF,1984,An American Procession,Alfred Kazin,New York: Alfred A. Knopf,P,n
774249," 40,225 ",NF,1984,The New Politics of Science,David Dickson,New York: Pantheon Bookos,Q,n
774337," 45,989 ",NF,1984,Economic Games People Play,Shlomo Maital and sharone L. Maital,"Basic Books, Inc., Publishers, New York",H,n
773444," 20,098 ",NF,1985,Applied Anthropology,Erve Chambers,"Pretnice-Hall, Inc, Englewood Cliffs, NJ",G,n
773538," 20,918 ",NF,1985,Educational Wastelands: The Retreat from Learning in Our Public Schools,Arthur Bestor,"University of Illinois Press, Chicago",L,n
773728," 25,596 ",NF,1985,Britain in Transition,Alfred F. Havighurst,"The University of Chicago Press, Chicago",D,n
773939," 21,780 ",NF,1985,Defending China,Gerald Segal,"Oxford University Press, New York, Oxford",U,n
774163," 40,216 ",NF,1985,German Myths and Legends,Donald A. MacKenzie,"Avenel Books, New York",B,n
774182," 38,301 ",NF,1985,Regions of the World Today,"John E. Benhart, C. Robert Scull","Kendall/Hunt Publishing Company, Iowa",G,n
774286," 42,000 ",NF,1985,Mechanics of the Middle Class,Robert Zussman,Berkeley: University of California Press,T,n
774316," 44,087 ",NF,1985,Elegance: A guide to quality in menswear,G. Bruce Boyer,New York: W. W. Norton & Company,T,n
773571," 21,283 ",NF,1986,Comparitive Democracy: Policymaking and Governming Coalitions in Europe and Isreal,Gregory M. Luebbert,"Columbia University Press, New York",J,n
773699," 24,641 ",NF,1986,Economics in Plain English,Leonard Silk,"Simon & Schuster, Inc., New York",H,n
774196," 41,664 ",NF,1986,Three Corners: Exploring Marriage and the Self,Stephen R. Marks,"Lexington, Massachusettes: D.C. Heath and Company",H,n
774269," 42,821 ",NF,1986,The Agricultural Scientific Enterprise,"Lawrence Busch, William B. Lacy",Boulder: Westview Press,S,n
773531," 21,519 ",NF,1987,Information Technologies and Basic Learning,The Center fro Educational Research & Innovation,"The Centre for Educational Research & Innovation, France",L,n
773755," 40,771 ",NF,1987,Sociology: A guide to problems and literature,Tom Bottomore,"Allen & Unwin, London",H,n
773764," 23,428 ",NF,1987,The Nationalization of British Transport,Michael R. Bonavia,"The MacMillan Press, London",H,n
773841," 19,177 ",NF,1987,The Plant Kingdom,"Harold C. Bold, John W. La Claire II","Prentice-Hall, Inc., Englewood Cliffs, NJ",Q,n
773918," 22,170 ",NF,1987,"Philosophy: An Introduction Through Original Fiction, Discussion, and Readings",Thomas D. Davis,"Random House, New York",B,n
773947," 23,072 ",NF,1987,The Territorial Army 1906-1940,Peter Dennis,"Short Run Press, Ltd, Exeter",U,n
774287," 41,392 ",NF,1987,The Civilized Engineer,Samuel C. Florman,New York: St. Martin's Press,T,n
774306," 41,924 ",NF,1987,Attaining Manufacturing Excellence,Robert W. Hall,"Homewood, IL: Dow Jones-Irwin",T,n
773414," 20,991 ",NF,1988,Brains and People: And Essay on Mentality and Its Causal Conditions,William S. Robinson,"Temple University Press, Philadelphia",B,n
773439," 44,320 ",NF,1988,World History,B.V. Rao,"Sterling Publishers Private Limited, Bangalore",D,n
773646," 22,885 ",NF,1988,The World within the World,John D. Barrow,"Claredon Press, Oxford",Q,n
773683," 51,143 ",NF,1988,A Small Farm in Main,Terry Sibler,"Houghton Mifflin Company, Boston",S,n
773716," 19,674 ",NF,1988,When Old Technologies Were New,Carolyn Marvin,"Oxford University Press, New York, Oxford",T,n
773830," 19,013 ",NF,1988,Chaos: Making a New Science,James Gleck,"Viking, New York",Q,n
774110," 46,993 ",NF,1988,War Justice and Public Order,Richard W. Kaeuper,"Clarendon Press, Oxford",D,n
774270," 41,199 ",NF,1988,A Small Farm in Maine,Terry Sibler,Boston: Houghton Mifflin Company,S,n
774343," 43,732 ",NF,1988,The Electronic Sweatshop: How Computers are Transforming the Office of the Future into the Factory of the Past,Barbara Garson,"Simon and Schuster, New York",H,n
774363," 44,321 ",NF,1988,"Hierarchy, History, and Human Nature: The Social Origins of Historical Consciousness",Donald E. Brown,"The University of Arizona Press, Tucson",D,n
773425," 24,318 ",NF,1989,The Jews in America,Arthur Hertzberg,"Simon and Schuster, New York",E,n
773504," 23,346 ",NF,1989,Beyond the BBC: Broadcasters and the Public in the 1980s,Tim Madge,"MacMillan and Co., London",H,n
773527," 27,762 ",NF,1989,The Sexual Bond: Rethinking Families and Close Relationships,"John Scanzoni, et al","SAGE Publications, London",H,n
774255," 43,003 ",NF,1989,The Story of Physics,"Lloyd Motz, Jefferson Hane Weaver",New York: Plenum Press,Q,n
774372," 45,222 ",NF,1989,Reform and Regret: The Story of Federal Judicial Involvement in the  Alabama Prison System,Larry W. Yackle,"Oxford University Press, New York",K,n
774395," 45,320 ",NF,1989,The Endangered Animal Kingdom: The Struggle to Save America's Wildlife,Roger L. Disilvestro,"John Wiley & Sons, inc., New York",Q,n
320499, 389 ,MAG,1980,[A Letter From The Publisher],,Time Magazine: 1980/04/14,,n
320500, 456 ,MAG,1980,[Letters],,Time Magazine: 1980/04/14,,n
320501, 508 ,MAG,1980,In California: Confronting the Empty Page,JOHN SKOW,Time Magazine: 1980/04/14,,n
320502, 484 ,MAG,1980,Four Big Decisions,GEORGE J. CHURCH,Time Magazine: 1980/04/14,,n
320503, 484 ,MAG,1980,From Sea to Shining Sea,,Time Magazine: 1980/04/14,,n
320504, 494 ,MAG,1980,Fastest Game in Town,,Time Magazine: 1980/04/14,,n
320505, 513 ,MAG,1980,'The Unknown First Family',,Time Magazine: 1980/04/14,,n
320506, 491 ,MAG,1980,Who's in Charge Here?,,Time Magazine: 1980/01/14,,n
320507, 222 ,MAG,1980,Too Much Sun in the Sunbelt,,Time Magazine: 1980/01/14,,n
320508, 465 ,MAG,1980,Battening Down,,Time Magazine: 1980/01/14,,n
320509, 424 ,MAG,1980,Honored at Last,,Time Magazine: 1980/01/14,,n
320510, 456 ,MAG,1980,A Stricken Begin Holds On,,Time Magazine: 1980/01/14,,n
320511, 494 ,MAG,1980,The Anger of the Palestinians,,Time Magazine: 1980/01/14,,n
320512, 414 ,MAG,1980,Promise off Progress on Arms,,Time Magazine: 1980/01/14,,n
320513, 399 ,MAG,1980,Wages of Sin,,Time Magazine: 1980/01/14,,n
320514, 183 ,MAG,1980,Freedom-Bound by Air,,Time Magazine: 1980/01/14,,n
320515, 465 ,MAG,1980,New Plans for Sharing Power,,Time Magazine: 1980/01/14,,n
320516, 460 ,MAG,1980,Digging In at Diego Garcia,,Time Magazine: 1980/01/14,,n
320517, 539 ,MAG,1980,That Aching Back!,,Time Magazine: 1980/01/14,,n
320518, 469 ,MAG,1980,Some Dos and Don'ts for Back Care,,Time Magazine: 1980/01/14,,n
320519, 151 ,MAG,1980,"Squat, Stretch and Bend",,Time Magazine: 1980/01/14,,n
320599, 534 ,MAG,1980,Drawing the Battle Lines,EDWIN WARNER,Time Magazine: 1980/08/25,,n
320600, 512 ,MAG,1980,An Interview with Mondale,,Time Magazine: 1980/08/25,,n
320601, 541 ,MAG,1980,"'That Which We Are, We Are'","HUGH SIDEY, JOHN STACKS",Time Magazine: 1980/08/25,,n
320602, 506 ,MAG,1980,Making Quite a Difference,,Time Magazine: 1980/08/25,,n
320603, 416 ,MAG,1980,Going Straight for the Jugular,JOHN F. STACKS,Time Magazine: 1980/08/25,,n
320604, 489 ,MAG,1980,Marketable Baskets of Issues,EDWIN WARNER,Time Magazine: 1980/08/25,,n
320605, 504 ,MAG,1980,Rethinking the Unthinkable,BURTON PINES,Time Magazine: 1980/08/25,,n
