textID,  # words  ,genre,year,title,author,Publication information,Library of Congress classification (NF),FIXED
773903," 21,360 ",NF,1930,Modern Lighting,Frank C. Caldwell,"The MacMillan Company, New York",T,n
773927," 24,549 ",NF,1930,Hey! Yellowbacks!,Ernest L. Meyer,"The John Day Company, New York",U,n
773693," 34,440 ",NF,1931,"The Roeblings: A Century of Engineers, Bridge-builders, and Industrialists",Hamilton Schuyler,"Princeton University Press, Princeton",T,n
773760," 40,972 ",NF,1931,Society Its Structureand Changes,R. M. MacIver,"Ray Long & Richard R. Smith, Inc. New York 1931",H,n
773818," 20,262 ",NF,1931,The Scientific Outlook,Bertrand Russell,"W. W. Norton & Company Inc., New York",Q,n
773936," 16,827 ",NF,1931,The Story of Architecture in England,Walter H. Godfrey,"B. T. Batsford LTD, London",N,n
773993," 15,760 ",NF,1931,An Embroidery Book,Anne Know Arthur,"A & C Black, LTD, London",T,n
773996," 23,263 ",NF,1931,The Handy Man's Handbook,C.T. Schaefer,"Harper & Brothers Publishers, New York",T,n
774021," 38,958 ",NF,1931,High School Geography,R. H. Whitbeck,"The MacMillan Company, New York",G,n
774028," 23,835 ",NF,1931,Ocean Transportation,Abraham Berglund,"Longmans, Green, and Co., New York",H,n
774034," 19,956 ",NF,1931,Economic Science and the Common Welfare,Harry G. Brown,"Lucas Brothers, Columbia",H,n
774164," 40,182 ",NF,1931,The Epic of America,James Truslow Adams,"Blue Ribbon Books, Inc. New York",E,n
774184," 41,668 ",NF,1931,The Making of Man,V. F. Calverton,New York: Random House,G,n
774219," 40,355 ",NF,1931,Discords Mingled,Carl Engel,"Freeport, New York: Books for Libraries Press, Inc.",M,n
774236," 42,735 ",NF,1931,American Literature,Russell Blankenship,New York: Henry Holt and Company,P,n
774317," 40,400 ",NF,1931,The Better Homes Manual,Blanche Halbert,Chicago: The University of Chicago Press,T,n
774358," 44,579 ",NF,1931,The Crusades: The Flame of Islam,Harold Lamb,"Doubleday, Doran & Company, Inc., Garden City",D,n
773410," 19,616 ",NF,1932,General Psychology,Floyd C. Dockeray,"Prentice Hall, Inc. New York",B,n
773556," 19,476 ",NF,1932,Education as Guidance,John M. Brewer,"The Macmillan Company, New York",L,n
773624," 18,483 ",NF,1932,Immigrant Gifts to American Life,Allen H. Eaton,"Russell Sage Foundatin, New York",N,n
773721," 8,906 ",NF,1932,What We Live By,Ernest Dimnet,"Simon & Schuster, Inc., New York",B,n
773744," 16,278 ",NF,1932,Modes and Manners,Joan Joshua,"J. B. Lippincott Company, Philadelphia",G,n
774004," 20,825 ",NF,1932,Growth and Development of the English Parish,Wray Hunt,"George G. Harrap & Company Ltd., London",D,n
774101," 40,140 ",NF,1932,Man's Great Adventure,Edwin W. Pahlow,"Ginn and Company, Boston",D,n
