textID,#words,genre,year,title,author,Publication information,Library of Congress classification (NF),FIXED
768793," 17,056 ",NF,1840,Kemps Nine Daies Wonder Performed in a Daunce from London to Norwich,"Kemp, William",,G,n
771215," 57,417 ",NF,1840,The Young Maiden,"Muzzey, A. B. (Artemas Bowers), 1802-1892",,H,n
747644," 66,114 ",NF,1841,"The life of Thomas Paine, author of ""Common sense"", ""Rights of man"", ""Age of reason"", &c., &c. : With critical and explanatory observations on his wri",G. Vale,New York: G. Vale,J,n
747861," 64,531 ",NF,1841,"An argument on the unconstitutionality of slavery, embracing an abstract of the National and State Conventions on this subject",George W. F. Mellen,Boston: Saxton & Pierce,K,n
747926," 64,236 ",NF,1841,"Book A treatise on the theory and practice of landscape gardening, adapted to North America; with a view to the improvement of country residences. Com",Andrew Jackson Downing,New York: Wiley and Putnam,S,n
747994," 57,679 ",NF,1841,"Psychology; Or, A View of the Human Soul, Including Anthropology, Adapted for the Use of Colleges",Friedriech August Rauch,New York: Dodd,B,n
747579," 69,605 ",NF,1842,A Treatise on the Right of Suffrage: With an Appendix,Samuel Jones,"Boston: Otis, Broaders, and Company",J,n
747583," 68,586 ",NF,1842,"The history of the Loco-foco, or Equal Rights Party : its movements, conventions and proceedings, with short characteristic sketches of its prominent ",Fitzwilliam Byrdsall,New York: Clement & Packard,J,n
747853," 65,016 ",NF,1842,"An Inquiry Into the Foundation, Evidences, and Truths of Religion",Henry Ware,Boston: James Munroe & co.,B,n
747650," 64,157 ",NF,1843,Lectures on constitutional law : for the use of the law class at the University of Virginia,Henry St. George Tucker,Richmond: Shepherd and Colin,J,n
747797," 23,618 ",NF,1843,"The revised statutes of the state of New York, reduced to questions and answers, for the use of schools and families",William B. Wedgwood,New York: Saxton & Miles,K,n
748690," 74,890 ",NF,1843,"The Bible in Spain; or, the journeys, adventures, and imprisonments of an Englishman, in an attempt ","Borrow, George Henry, 1803-1881",,D,n
752682," 35,719 ",NF,1843,Familiar Letters on Chemistry,"Liebig, Justus, Freiherr von, 1803-1873",,Q,n
747533," 73,231 ",NF,1844,"Mental and moral culture, and popular education ",S S Randall;  Henry Stephens Randall,New York: C.S. Francis,L,n
747892," 36,815 ",NF,1844,"The rose manual; containing accurate descriptions of all the finest varieties of roses, properly classed in their respective families, their character",Robert Buist,Philadelphia: the author,S,n
748006," 13,837 ",NF,1844,Labor and capital,Calvin Colton,New York: Greeley & McElrath,H,n
748164," 64,103 ",NF,1844,Notes on political economy as applicable to the United States,Nathaniel A. Ware,"New York: Leavitt, Trow",H,n
